Postazione;Codice Dispaccio;Numero Documenti;Data Registrazione;
engine;100000250028;80;26/02/2026 08:38:22;
engine;100000250144;150;26/02/2026 11:39:38;
engine;100000251251;114;26/02/2026 08:46:06;
engine;100000251304;150;26/02/2026 08:41:34;
engine;100000251360;86;26/02/2026 08:36:44;
engine;100000251391;150;26/02/2026 08:45:48;
engine;100000251427;150;26/02/2026 08:45:53;
engine;100000251571;149;26/02/2026 08:44:42;
engine;100000251587;118;26/02/2026 08:44:37;
engine;100000251624;24;26/02/2026 08:28:09;
engine;100000251644;22;26/02/2026 08:39:19;
engine;100000251672;150;26/02/2026 08:40:47;
engine;100000251774;40;26/02/2026 08:44:33;
engine;100000251789;58;26/02/2026 08:37:30;
engine;100000252080;104;26/02/2026 08:27:57;
engine;100000252442;150;26/02/2026 08:45:15;
engine;100000252643;141;26/02/2026 14:10:01;
engine;100000252743;135;26/02/2026 14:09:37;
engine;100000252833;144;26/02/2026 14:09:49;
engine;100000253405;150;26/02/2026 17:25:13;
engine;100000253527;146;26/02/2026 17:24:59;
engine;100000253593;64;26/02/2026 14:08:45;
engine;100000254289;150;26/02/2026 10:24:23;
engine;100000254333;150;26/02/2026 15:41:29;
engine;100000254375;149;26/02/2026 15:41:10;
engine;100000254385;150;26/02/2026 15:41:26;
engine;100000254448;91;26/02/2026 15:41:04;
