Postazione;Codice Faldone;Numero Documenti;Data Registrazione;
coop\elisa.scappini;X600289526;800;26-FEB-26;
coop\elisa.scappini;X600289779;800;26-FEB-26;
coop\elisa.scappini;X600289780;800;26-FEB-26;
coop\elisa.scappini;X600289781;797;26-FEB-26;
coop\elisa.scappini;X600289782;800;26-FEB-26;
coop\elisa.scappini;X600289783;800;26-FEB-26;
coop\elisa.scappini;X600289784;800;26-FEB-26;
coop\elisa.scappini;X600289785;800;26-FEB-26;
coop\elisa.scappini;X600289786;818;26-FEB-26;
coop\elisa.scappini;X600289787;705;26-FEB-26;
coop\elisa.scappini;X600289788;872;26-FEB-26;
coop\elisa.scappini;X600289789;151;26-FEB-26;
coop\elisa.scappini;X600289790;169;26-FEB-26;
coop\elisa.scappini;X600289791;240;26-FEB-26;
coop\elisa.scappini;X600289797;240;26-FEB-26;
coop\elisa.scappini;X600289798;240;26-FEB-26;
coop\elisa.scappini;X600289799;240;26-FEB-26;
coop\elisa.scappini;X600289800;240;26-FEB-26;
coop\elisa.scappini;X600289801;240;26-FEB-26;
coop\elisa.scappini;X600289802;240;26-FEB-26;
coop\elisa.scappini;X600289803;240;26-FEB-26;
coop\elisa.scappini;X600289804;240;26-FEB-26;
coop\elisa.scappini;X600289805;240;26-FEB-26;
coop\elisa.scappini;X600289806;235;26-FEB-26;
coop\elisa.scappini;X600289808;240;26-FEB-26;
coop\elisa.scappini;X600289809;240;26-FEB-26;
coop\elisa.scappini;X600289810;240;26-FEB-26;
coop\elisa.scappini;X600289811;240;26-FEB-26;
coop\elisa.scappini;X600289812;236;26-FEB-26;
coop\elisa.scappini;X600289819;240;26-FEB-26;
coop\elisa.scappini;X600289827;240;26-FEB-26;
coop\elisa.scappini;X600289828;240;26-FEB-26;
coop\elisa.scappini;X600289829;240;26-FEB-26;
coop\elisa.scappini;X600289830;240;26-FEB-26;
coop\elisa.scappini;X600289831;240;26-FEB-26;
coop\elisa.scappini;X600289832;240;26-FEB-26;
coop\elisa.scappini;X600289833;240;26-FEB-26;
coop\elisa.scappini;X600289834;240;26-FEB-26;
coop\elisa.scappini;X600289835;240;26-FEB-26;
coop\elisa.scappini;X600289836;239;26-FEB-26;
coop\elisa.scappini;X600289837;240;26-FEB-26;
coop\elisa.scappini;X600289838;240;26-FEB-26;
coop\elisa.scappini;X600289839;240;26-FEB-26;
coop\elisa.scappini;X600289840;240;26-FEB-26;
coop\elisa.scappini;X600289841;240;26-FEB-26;
coop\elisa.scappini;X600289842;240;26-FEB-26;
coop\elisa.scappini;X600289843;240;26-FEB-26;
coop\elisa.scappini;X600289844;240;26-FEB-26;
coop\elisa.scappini;X600289845;240;26-FEB-26;
coop\elisa.scappini;X600289846;240;26-FEB-26;
coop\elisa.scappini;X600289847;240;26-FEB-26;
coop\elisa.scappini;X600289848;220;26-FEB-26;
coop\elisa.scappini;X610286714;739;26-FEB-26;
coop\elisa.scappini;X610289777;958;26-FEB-26;
coop\elisa.scappini;X610289860;800;26-FEB-26;
coop\elisa.scappini;X610289861;800;26-FEB-26;
coop\elisa.scappini;X610289862;759;26-FEB-26;
coop\elisa.scappini;X610289863;800;26-FEB-26;
coop\elisa.scappini;X610289864;800;26-FEB-26;
coop\elisa.scappini;X610289865;800;26-FEB-26;
coop\elisa.scappini;X610289866;800;26-FEB-26;
coop\elisa.scappini;X610289867;800;26-FEB-26;
coop\elisa.scappini;X610289868;800;26-FEB-26;
coop\elisa.scappini;X610289869;706;26-FEB-26;
coop\elisa.scappini;X610289870;800;26-FEB-26;
coop\elisa.scappini;X610289871;800;26-FEB-26;
coop\elisa.scappini;X610289872;800;26-FEB-26;
coop\elisa.scappini;X610289873;800;26-FEB-26;
coop\elisa.scappini;X610289874;800;26-FEB-26;
coop\elisa.scappini;X610289875;800;26-FEB-26;
coop\elisa.scappini;X610289876;800;26-FEB-26;
coop\elisa.scappini;X610289877;76;26-FEB-26;
coop\elisa.scappini;X610289878;80;26-FEB-26;
coop\elisa.scappini;X610289899;240;26-FEB-26;
coop\elisa.scappini;X610289900;240;26-FEB-26;
coop\elisa.scappini;X610289910;80;26-FEB-26;
coop\elisa.scappini;X610289911;80;26-FEB-26;
coop\elisa.scappini;X610289912;80;26-FEB-26;
coop\elisa.scappini;X610289913;80;26-FEB-26;
coop\elisa.scappini;X610289914;107;26-FEB-26;
coop\elisa.scappini;X610289915;91;26-FEB-26;
coop\elisa.scappini;X610289916;240;26-FEB-26;
coop\elisa.scappini;X610289917;240;26-FEB-26;
coop\elisa.scappini;X610289918;240;26-FEB-26;
coop\elisa.scappini;X610289919;240;26-FEB-26;
coop\elisa.scappini;X610289920;218;26-FEB-26;
coop\elisa.scappini;X610289921;350;26-FEB-26;
coop\elisa.scappini;X610289922;800;26-FEB-26;
coop\elisa.scappini;X610289993;800;26-FEB-26;
coop\elisa.scappini;X610289995;800;26-FEB-26;
coop\elisa.scappini;X610289996;800;26-FEB-26;
coop\elisa.scappini;X610289997;800;26-FEB-26;
coop\elisa.scappini;X620289627;100;26-FEB-26;
coop\elisa.scappini;X620289778;798;26-FEB-26;
coop\elisa.scappini;X620289807;229;26-FEB-26;
coop\elisa.scappini;X620289813;78;26-FEB-26;
coop\elisa.scappini;X620289814;80;26-FEB-26;
coop\elisa.scappini;X620289815;80;26-FEB-26;
coop\elisa.scappini;X620289816;80;26-FEB-26;
coop\elisa.scappini;X620289817;103;26-FEB-26;
coop\elisa.scappini;X620289818;80;26-FEB-26;
coop\elisa.scappini;X620289820;80;26-FEB-26;
coop\elisa.scappini;X620289821;20;26-FEB-26;
coop\elisa.scappini;X620289822;20;26-FEB-26;
coop\elisa.scappini;X620289823;20;26-FEB-26;
coop\elisa.scappini;X620289824;61;26-FEB-26;
coop\elisa.scappini;X620289825;60;26-FEB-26;
coop\elisa.scappini;X620289826;796;26-FEB-26;
coop\elisa.scappini;X620289849;842;26-FEB-26;
coop\elisa.scappini;X620289850;800;26-FEB-26;
coop\elisa.scappini;X620289851;800;26-FEB-26;
coop\elisa.scappini;X620289852;752;26-FEB-26;
coop\elisa.scappini;X620289853;800;26-FEB-26;
coop\elisa.scappini;X620289854;800;26-FEB-26;
coop\elisa.scappini;X620289855;800;26-FEB-26;
coop\elisa.scappini;X620289856;696;26-FEB-26;
coop\elisa.scappini;X620289857;600;26-FEB-26;
coop\elisa.scappini;X620289858;600;26-FEB-26;
coop\elisa.scappini;X620289859;80;26-FEB-26;
coop\elisa.scappini;X620289880;73;26-FEB-26;
coop\elisa.scappini;X620289881;80;26-FEB-26;
coop\elisa.scappini;X620289882;80;26-FEB-26;
coop\elisa.scappini;X620289883;78;26-FEB-26;
coop\elisa.scappini;X620289884;80;26-FEB-26;
coop\elisa.scappini;X620289885;80;26-FEB-26;
coop\elisa.scappini;X620289886;80;26-FEB-26;
coop\elisa.scappini;X620289887;80;26-FEB-26;
coop\elisa.scappini;X620289888;80;26-FEB-26;
coop\elisa.scappini;X620289889;77;26-FEB-26;
coop\elisa.scappini;X620289890;80;26-FEB-26;
coop\elisa.scappini;X620289891;80;26-FEB-26;
coop\elisa.scappini;X620289892;80;26-FEB-26;
coop\elisa.scappini;X620289893;80;26-FEB-26;
coop\elisa.scappini;X620289894;80;26-FEB-26;
coop\elisa.scappini;X620289895;80;26-FEB-26;
coop\elisa.scappini;X620289896;80;26-FEB-26;
coop\elisa.scappini;X620289897;86;26-FEB-26;
coop\elisa.scappini;X620289898;236;26-FEB-26;
coop\elisa.scappini;X620289901;240;26-FEB-26;
coop\elisa.scappini;X620289902;240;26-FEB-26;
coop\elisa.scappini;X620289903;240;26-FEB-26;
coop\elisa.scappini;X620289904;240;26-FEB-26;
coop\elisa.scappini;X620289905;240;26-FEB-26;
coop\elisa.scappini;X620289906;240;26-FEB-26;
coop\elisa.scappini;X620289907;100;26-FEB-26;
coop\elisa.scappini;X620289908;211;26-FEB-26;
coop\elisa.scappini;X620289909;799;26-FEB-26;
coop\elisa.scappini;X620289923;718;26-FEB-26;
coop\elisa.scappini;X620289924;800;26-FEB-26;
coop\elisa.scappini;X620289925;733;26-FEB-26;
coop\elisa.scappini;X620289926;800;26-FEB-26;
coop\elisa.scappini;X620289927;800;26-FEB-26;
coop\elisa.scappini;X620289928;800;26-FEB-26;
coop\elisa.scappini;X620289931;800;26-FEB-26;
coop\elisa.scappini;X620289933;600;26-FEB-26;
coop\elisa.scappini;X620289936;600;26-FEB-26;
coop\elisa.scappini;X620289939;600;26-FEB-26;
coop\elisa.scappini;X620289941;600;26-FEB-26;
coop\elisa.scappini;X620289943;600;26-FEB-26;
coop\elisa.scappini;X620289944;600;26-FEB-26;
coop\elisa.scappini;X620289946;730;26-FEB-26;
coop\elisa.scappini;X620289949;800;26-FEB-26;
coop\elisa.scappini;X620289951;796;26-FEB-26;
coop\elisa.scappini;X620289956;800;26-FEB-26;
coop\elisa.scappini;X620289957;797;26-FEB-26;
coop\elisa.scappini;X620289958;800;26-FEB-26;
coop\elisa.scappini;X620289959;697;26-FEB-26;
coop\elisa.scappini;X620289961;894;26-FEB-26;
