Postazione;Codice Faldone;Codice Scatola;Numero Documenti;Data Registrazione;
coop\elisa.scappini;X600289526;S601444874;800;26/02/2026 17:31:56;
coop\elisa.scappini;X600289696;S601444874;517;26/02/2026 17:31:56;
coop\elisa.scappini;X600289698;S601444874;156;26/02/2026 17:31:56;
coop\elisa.scappini;X600289779;S601444874;800;26/02/2026 17:31:56;
coop\elisa.scappini;X600289780;S601444874;800;26/02/2026 17:31:56;
coop\elisa.scappini;X600288806;S601445050;800;26/02/2026 14:20:49;
coop\elisa.scappini;X600289523;S601445050;800;26/02/2026 14:20:49;
coop\elisa.scappini;X600289524;S601445050;800;26/02/2026 14:20:49;
coop\elisa.scappini;X600289529;S601445050;800;26/02/2026 14:20:49;
coop\elisa.scappini;X600289530;S601445050;800;26/02/2026 14:20:49;
coop\elisa.scappini;X600289536;S601445085;800;26/02/2026 14:27:30;
coop\elisa.scappini;X600289537;S601445085;600;26/02/2026 14:27:30;
coop\elisa.scappini;X600289539;S601445085;600;26/02/2026 14:27:30;
coop\elisa.scappini;X600289540;S601445085;600;26/02/2026 14:27:30;
coop\elisa.scappini;X600289541;S601445085;600;26/02/2026 14:27:30;
coop\elisa.scappini;X600289542;S601445088;600;26/02/2026 14:28:14;
coop\elisa.scappini;X600289543;S601445088;600;26/02/2026 14:28:14;
coop\elisa.scappini;X600289544;S601445088;594;26/02/2026 14:28:14;
coop\elisa.scappini;X600289545;S601445088;600;26/02/2026 14:28:14;
coop\elisa.scappini;X600289546;S601445088;600;26/02/2026 14:28:14;
coop\elisa.scappini;X600289781;S601445872;797;26/02/2026 17:23:37;
coop\elisa.scappini;X600289782;S601445872;800;26/02/2026 17:23:37;
coop\elisa.scappini;X600289783;S601445872;800;26/02/2026 17:23:37;
coop\elisa.scappini;X600289784;S601445872;800;26/02/2026 17:23:37;
coop\elisa.scappini;X600289785;S601445872;800;26/02/2026 17:23:37;
coop\elisa.scappini;X600289791;S601445881;240;26/02/2026 17:45:49;
coop\elisa.scappini;X600289797;S601445881;240;26/02/2026 17:45:49;
coop\elisa.scappini;X600289798;S601445881;240;26/02/2026 17:45:49;
coop\elisa.scappini;X600289799;S601445881;240;26/02/2026 17:45:49;
coop\elisa.scappini;X600289800;S601445881;240;26/02/2026 17:45:49;
coop\elisa.scappini;X600289801;S601445943;240;26/02/2026 17:51:01;
coop\elisa.scappini;X600289802;S601445943;240;26/02/2026 17:51:01;
coop\elisa.scappini;X600289803;S601445943;240;26/02/2026 17:51:01;
coop\elisa.scappini;X600289804;S601445943;240;26/02/2026 17:51:01;
coop\elisa.scappini;X600289805;S601445943;240;26/02/2026 17:51:01;
coop\elisa.scappini;X600289806;S601445945;235;26/02/2026 17:51:52;
coop\elisa.scappini;X600289808;S601445945;240;26/02/2026 17:51:52;
coop\elisa.scappini;X600289809;S601445945;240;26/02/2026 17:51:52;
coop\elisa.scappini;X600289810;S601445945;240;26/02/2026 17:51:52;
coop\elisa.scappini;X600289811;S601445945;240;26/02/2026 17:51:52;
coop\elisa.scappini;X600289830;S601446073;240;26/02/2026 18:25:21;
coop\elisa.scappini;X600289831;S601446073;240;26/02/2026 18:25:21;
coop\elisa.scappini;X600289832;S601446073;240;26/02/2026 18:25:21;
coop\elisa.scappini;X600289833;S601446073;240;26/02/2026 18:25:21;
coop\elisa.scappini;X600289834;S601446073;240;26/02/2026 18:25:21;
coop\elisa.scappini;X600289835;S601446074;240;26/02/2026 18:29:06;
coop\elisa.scappini;X600289836;S601446074;239;26/02/2026 18:29:06;
